,10km/h,30km/h,40km/h,50km/h,60km/h,70km/h,80km/h,90km/h,100km/h,110km/h
Truck,0.0000,0.0000,0.0690,0.2529,0.2989,0.2069,0.0805,0.0230,0.0230,0.0460
Motorcycle,0.0000,0.0000,0.0000,0.4545,0.3636,0.1515,0.0303,0.0000,0.0000,0.0000
Other,0.0003,0.0024,0.0503,0.4994,0.2960,0.1106,0.0325,0.0045,0.0018,0.0021
Pedestrian,0.0217,0.0000,0.1522,0.3913,0.1957,0.1957,0.0435,0.0000,0.0000,0.0000
Animal,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Bike only,0.0000,0.0000,0.0685,0.4795,0.3014,0.1096,0.0274,0.0137,0.0000,0.0000
